Source,Description,"Value £s  In bands of £1,500",Received,Registered,gid
The Boys' Brigade,Secretariat  From : 25/01/2017  To : 31/12/2017,1501-3000,25/01/2017,17/02/2017,boys-brigade
Brain Tumour Research,Brain Tumour Research acts as the APPG's secretariat and receives assistance from PB Political Consulting and Brain Tumour Charity for this  From : 06/07/2016  To : 05/07/2017,10501-12000,06/07/2016,25/08/2016,brain-tumours
Breast Cancer Now,Secretariat  From : 24/06/2016  To : 23/06/2017,7501-9000,24/06/2016,16/09/2016,breast-cancer
Breast Cancer Now,Reception,3001-4500,26/10/2016,15/11/2016,breast-cancer
British Council,Secretariat  From : 29/06/2016  To : 28/06/2017,16501-18000,29/06/2016,19/07/2016,british-council
Political Intelligence,Secretariat  From : 05/11/2015  To : 04/11/2016,4501-6000,05/11/2015,25/02/2016,broadband-and-digital-communication
Construction Industry Council,Secretariat  From : 01/01/2016  To : 31/12/2016,12001-13500,01/01/2016,07/12/2016,built-environment
ICAEW,Secretariat  From : 06/07/2015  To : 31/12/2015,4501-6000,06/07/2015,24/07/2015,business-finance-and-accountancy
Macmillian Cancer Support,Secretariat  From : 01/01/2016  To : 31/12/2016,49501-51000,01/01/2016,02/06/2015,cancer
British Ceramics Confederation,Secretariat  From : 07/03/2017  To : 05/03/2018,1501-3000,07/03/2017,14/03/2017,ceramics
Channel 4,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,20/12/2016,channel-4
National Council for Voluntary Organisations,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,25/08/2016,charities-and-volunteering
NCVO,Reception held on 13.12.2016,3001-4500,13/12/2016,01/02/2017,charities-and-volunteering
Bates Wells Braithwaite,Reception held on 13.12.2016,1501-3000,13/12/2016,01/02/2017,charities-and-volunteering
Chemical Industries Association,Secretariat  From : 01/11/2016  To : 31/10/2017,1501-3000,01/11/2016,11/11/2016,chemical-industry
National Children's Bureau,Secretariat  From : 01/01/2016  To : 31/12/2016,21001-22500,01/01/2016,29/09/2016,children
Together for Short Lives,Secretariat  From : 07/02/2017  To : 06/02/2018,21001-22500,07/02/2017,28/02/2017,children-who-need-palliative-care
Bible Society,Admin assistance and event support  From : 01/01/2016  To : 31/12/2016,79501-81000,01/01/2016,21/09/2016,christians-in-parliament
Parliamentary Christian Trust,Admin assistance and event support  From : 01/01/2016  To : 31/12/2016,25501-27000,01/01/2016,21/09/2016,christians-in-parliament
National Association of Cider Makers,Reception held on 6 February 2017,4501-6000,06/02/2017,02/05/2017,cider
Urban Transport Group,Secretariat  From : 14/06/2016  To : 14/06/2017,1501-3000,14/06/2016,27/06/2016,city-regions-transport
Civic Voice,Secretariat  From : 16/11/2015  To : 15/11/2016,1501-3000,16/11/2015,14/12/2015,civic-societies
Association of British Orchestras,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,05/09/2016,classical-music
Industrial Communities Alliance,Secretariat  From : 12/07/2016  To : 11/07/2017,1501-3000,12/07/2016,20/07/2016,coalfield-communities
The Royal Commonwealth Society,Secretariat  From : 01/01/2015  To : 31/12/2016,1501-3000,01/01/2015,22/07/2015,commonwealth
Absorbent Hygiene Products Manufacturers Association,Secretariat  From : 01/01/2016  To : 31/12/2016,6001-7500,01/01/2016,22/07/2016,continence-care
County Councils Network,Secretariat  From : 01/01/2016  To : 31/12/2016,4501-6000,01/01/2016,17/05/2016,county
Cornerstone Ltd,Reception,1501-3000,31/10/2016,29/11/2016,county
CCN,Reception,1501-3000,31/10/2016,29/11/2016,county
Tavistock Relationships,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,13/09/2016,couple-relationships
